rX: 67.43	rY: -30.01	rZ: 178.12	yX: 56.84	 yY:-21.54	 yZ: 178.12	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.43	rY: -30.01	rZ: 178.12	yX: 56.42	 yY:-20.18	 yZ: 172.84	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.43	rY: -30.01	rZ: 178.12	yX: 56.33	 yY:-20.39	 yZ: 174.56	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.43	rY: -30.01	rZ: 178.12	yX: 56.33	 yY:-20.39	 yZ: 174.56	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.43	rY: -30.01	rZ: 178.12	yX: 56.03	 yY:-20.28	 yZ: 173.69	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.43	rY: -30.01	rZ: 178.12	yX: 56.42	 yY:-20.18	 yZ: 172.84	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.43	rY: -30.01	rZ: 178.12	yX: 56.33	 yY:-20.39	 yZ: 174.56	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.43	rY: -30.01	rZ: 178.12	yX: 56.33	 yY:-20.39	 yZ: 174.56	bX: 16.79	bY: -17.54	 bZ: 187.68
rX: 69.26	rY: -31.22	rZ: 180.88	yX: 56.63	 yY:-20.50	 yZ: 175.44	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.14	rY: -30.01	rZ: 178.12	yX: 57.94	 yY:-20.02	 yZ: 177.22	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 70.03	rY: -31.57	rZ: 182.77	yX: 57.24	 yY:-20.72	 yZ: 177.22	bX: 16.79	bY: -16.79	 bZ: 187.68
rX: 70.03	rY: -31.57	rZ: 182.77	yX: 56.42	 yY:-20.18	 yZ: 172.84	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 70.03	rY: -31.57	rZ: 182.77	yX: 56.93	 yY:-21.31	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 70.03	rY: -31.57	rZ: 182.77	yX: 56.93	 yY:-21.31	 yZ: 176.32	bX: 16.79	bY: -17.54	 bZ: 187.68
rX: 70.03	rY: -31.57	rZ: 182.77	yX: 56.93	 yY:-21.31	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.13	 yY:-20.07	 yZ: 171.98	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 57.24	 yY:-20.72	 yZ: 177.22	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.63	 yY:-20.50	 yZ: 175.44	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 55.74	 yY:-20.18	 yZ: 172.84	bX: 16.70	bY: -17.44	 bZ: 186.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.03	 yY:-20.28	 yZ: 173.69	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.93	 yY:-21.31	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
